Page Name,Ad ID / Details,Image URL,Landing Page Link,Full Text
​,ライブラリID: 1910989579579189,なし,なし,​ / 非アクティブ / ライブラリID: 1910989579579189 / 2026/07/13〜2026/08/28 / プラットフォーム / ​ / ​ / ​ / ​ / ​
​,ライブラリID: 9079987928678353,https://scontent-fra5-1.xx.fbcdn.net/v/t39.35426-6/463315346_507763025575231_7326210286062871726_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=_mrER7GY5SEQ7kNvwHM9JNd&_nc_oc=AdoZQRb1sZuXKSxZ7eb_BUDYrE5BI1DBT5mv8mF26-dy1352N2y9pffsFb6eJtaTuWA&_nc_zt=14&_nc_ht=scontent-fra5-1.xx&_nc_gid=yFyQLQZapYPHGM4kZ9HEnw&_nc_ss=79289&oh=00_AQKQPnKIOuxziGRLWYTDDmAxNyUEuHzeSQfvVl6ihRuTRg&oe=6AB042BD,https://play.google.com/store/apps/details?id=com.ss.android.ugc.tiktok.lite&gl=jp,​ / 非アクティブ / ライブラリID: 9079987928678353 / 2024/11/17〜2025/12/31 / プラットフォーム / ​ / ​ / EUの透明性 / ​ / ドロップダウンを開く
​,ライブラリID: 9079987928678353,https://scontent-fra5-1.xx.fbcdn.net/v/t39.35426-6/463315346_507763025575231_7326210286062871726_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=_mrER7GY5SEQ7kNvwHM9JNd&_nc_oc=AdoZQRb1sZuXKSxZ7eb_BUDYrE5BI1DBT5mv8mF26-dy1352N2y9pffsFb6eJtaTuWA&_nc_zt=14&_nc_ht=scontent-fra5-1.xx&_nc_gid=yFyQLQZapYPHGM4kZ9HEnw&_nc_ss=79289&oh=00_AQKQPnKIOuxziGRLWYTDDmAxNyUEuHzeSQfvVl6ihRuTRg&oe=6AB042BD,https://play.google.com/store/apps/details?id=com.ss.android.ugc.tiktok.lite&gl=jp,​ / 非アクティブ / ライブラリID: 9079987928678353 / 2024/11/17〜2025/12/31 / プラットフォーム / ​ / ​ / EUの透明性 / ​ / ドロップダウンを開く
​,ライブラリID: 9079987928678353,なし,なし,​ / 非アクティブ / ライブラリID: 9079987928678353 / 2024/11/17〜2025/12/31 / プラットフォーム / ​ / ​ / EUの透明性 / ​ / ドロップダウンを開く
​,ライブラリID: 9079987928678353,なし,なし,​ / 非アクティブ / ライブラリID: 9079987928678353 / 2024/11/17〜2025/12/31 / プラットフォーム / ​ / ​ / EUの透明性 / ​ / ドロップダウンを開く
​,ライブラリID: 9079987928678353,なし,なし,​ / 非アクティブ / ライブラリID: 9079987928678353 / 2024/11/17〜2025/12/31 / プラットフォーム / ​ / ​ / EUの透明性 / ​
​,ライブラリID: 4532663680385928,https://scontent-fra3-1.xx.fbcdn.net/v/t39.35426-6/737422232_2238776040281978_4428277408776564972_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=JXKz4DJrZugQ7kNvwEd_HRR&_nc_oc=AdreXtzTYKbUVrK4hFeqH5cYMwVYTUSE1_9HEx4zUprjtU-8cKvqiAZuVqomdlSC1T0&_nc_zt=14&_nc_ht=scontent-fra3-1.xx&_nc_gid=yFyQLQZapYPHGM4kZ9HEnw&_nc_ss=79289&oh=00_AQIAWm1A_jxxqhtQo6FLF6wxl9rR3uPrxXmr50En0CctHQ&oe=6AB03CB0,https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically,​ / アクティブ / ライブラリID: 4532663680385928 / 掲載開始日: 2026/07/03 / プラットフォーム / ​ / ​ / ​ / ​ / ​
​,ライブラリID: 4532663680385928,https://scontent-fra3-1.xx.fbcdn.net/v/t39.35426-6/737422232_2238776040281978_4428277408776564972_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=JXKz4DJrZugQ7kNvwEd_HRR&_nc_oc=AdreXtzTYKbUVrK4hFeqH5cYMwVYTUSE1_9HEx4zUprjtU-8cKvqiAZuVqomdlSC1T0&_nc_zt=14&_nc_ht=scontent-fra3-1.xx&_nc_gid=yFyQLQZapYPHGM4kZ9HEnw&_nc_ss=79289&oh=00_AQIAWm1A_jxxqhtQo6FLF6wxl9rR3uPrxXmr50En0CctHQ&oe=6AB03CB0,https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically,​ / アクティブ / ライブラリID: 4532663680385928 / 掲載開始日: 2026/07/03 / プラットフォーム / ​ / ​ / ​ / ​ / ​
​,ライブラリID: 4532663680385928,なし,なし,​ / アクティブ / ライブラリID: 4532663680385928 / 掲載開始日: 2026/07/03 / プラットフォーム / ​ / ​ / ​ / ​ / ​
​,ライブラリID: 4532663680385928,なし,なし,​ / アクティブ / ライブラリID: 4532663680385928 / 掲載開始日: 2026/07/03 / プラットフォーム / ​ / ​ / ​ / ​ / ​
